id,term_language,term_type,term_title,term_slug,term_url,term_desc,term_meta,term_parent
1,,cat,news,news,news,,,
2,fa,cat_card,504,504,504,,english,
3,fa,cat_card,Lesson1,lesson1,504/lesson1,,english,2
4,fa,cat_card,Lesson2,lesson2,504/lesson2,,english,2
5,fa,cat_card,Lesson3,lesson3,504/lesson3,,english,2
6,fa,cat_card,Lesson4,lesson4,504/lesson4,,english,2
7,fa,cat_card,Lesson5,lesson5,504/lesson5,,english,2
8,fa,cat_card,Lesson6,lesson6,504/lesson6,,english,2
9,fa,cat_card,Lesson7,lesson7,504/lesson7,,english,2
10,fa,cat_card,Lesson8,lesson8,504/lesson8,,english,2
11,fa,cat_card,Lesson9,lesson9,504/lesson9,,english,2
12,fa,cat_card,Lesson10,lesson10,504/lesson10,,english,2
13,fa,cat_card,Lesson11,lesson11,504/lesson11,,english,2
14,fa,cat_card,Lesson12,lesson12,504/lesson12,,english,2
15,fa,cat_card,Lesson13,lesson13,504/lesson13,,english,2
16,fa,cat_card,Lesson14,lesson14,504/lesson14,,english,2
17,fa,cat_card,Lesson15,lesson15,504/lesson15,,english,2
18,fa,cat_card,Lesson16,lesson16,504/lesson16,,english,2
19,fa,cat_card,Lesson17,lesson17,504/lesson17,,english,2
20,fa,cat_card,Lesson18,lesson18,504/lesson18,,english,2
21,fa,cat_card,Lesson19,lesson19,504/lesson19,,english,2
22,fa,cat_card,Lesson20,lesson20,504/lesson20,,english,2
23,fa,cat_card,Lesson21,lesson21,504/lesson21,,english,2
24,fa,cat_card,Lesson22,lesson22,504/lesson22,,english,2
25,fa,cat_card,Lesson23,lesson23,504/lesson23,,english,2
26,fa,cat_card,Lesson24,lesson24,504/lesson24,,english,2
27,fa,cat_card,Lesson25,lesson25,504/lesson25,,english,2
28,fa,cat_card,Lesson26,lesson26,504/lesson26,,english,2
29,fa,cat_card,Lesson27,lesson27,504/lesson27,,english,2
30,fa,cat_card,Lesson28,lesson28,504/lesson28,,english,2
31,fa,cat_card,Lesson29,lesson29,504/lesson29,,english,2
32,fa,cat_card,Lesson30,lesson30,504/lesson30,,english,2
33,fa,cat_card,Lesson31,lesson31,504/lesson31,,english,2
34,fa,cat_card,Lesson32,lesson32,504/lesson32,,english,2
35,fa,cat_card,Lesson33,lesson33,504/lesson33,,english,2
36,fa,cat_card,Lesson34,lesson34,504/lesson34,,english,2
37,fa,cat_card,Lesson35,lesson35,504/lesson35,,english,2
38,fa,cat_card,Lesson36,lesson36,504/lesson36,,english,2
39,fa,cat_card,Lesson37,lesson37,504/lesson37,,english,2
40,fa,cat_card,Lesson38,lesson38,504/lesson38,,english,2
41,fa,cat_card,Lesson39,lesson39,504/lesson39,,english,2
42,fa,cat_card,Lesson40,lesson40,504/lesson40,,english,2
43,fa,cat_card,Lesson41,lesson41,504/lesson41,,english,2
44,fa,cat_card,Lesson42,lesson42,504/lesson42,,english,2
45,fa,cat_card,450,450,450,,english,
46,fa,cat_card,Lesson1,lesson1,450/lesson1,,english,45
47,fa,cat_card,Lesson2,lesson2,450/lesson2,,english,45
48,fa,cat_card,Lesson3,lesson3,450/lesson3,,english,45
49,fa,cat_card,Lesson4,lesson4,450/lesson4,,english,45
50,fa,cat_card,Lesson5,lesson5,450/lesson5,,english,45
51,fa,cat_card,Lesson6,lesson6,450/lesson6,,english,45
52,fa,cat_card,Lesson7,lesson7,450/lesson7,,english,45
53,fa,cat_card,Lesson8,lesson8,450/lesson8,,english,45
54,fa,cat_card,Lesson9,lesson9,450/lesson9,,english,45
55,fa,cat_card,Lesson10,lesson10,450/lesson10,,english,45
56,fa,cat_card,Lesson11,lesson11,450/lesson11,,english,45
57,fa,cat_card,Lesson12,lesson12,450/lesson12,,english,45
58,fa,cat_card,Lesson13,lesson13,450/lesson13,,english,45
59,fa,cat_card,Lesson14,lesson14,450/lesson14,,english,45
60,fa,cat_card,Lesson15,lesson15,450/lesson15,,english,45
61,fa,cat_card,Lesson16,lesson16,450/lesson16,,english,45
62,fa,cat_card,Lesson17,lesson17,450/lesson17,,english,45
63,fa,cat_card,Lesson18,lesson18,450/lesson18,,english,45
64,fa,cat_card,Lesson19,lesson19,450/lesson19,,english,45
65,fa,cat_card,Lesson20,lesson20,450/lesson20,,english,45
66,fa,cat_card,Lesson21,lesson21,450/lesson21,,english,45
67,fa,cat_card,Lesson22,lesson22,450/lesson22,,english,45
68,fa,cat_card,Lesson23,lesson23,450/lesson23,,english,45
69,fa,cat_card,Lesson24,lesson24,450/lesson24,,english,45
70,fa,cat_card,Lesson25,lesson25,450/lesson25,,english,45
71,fa,cat_card,Lesson26,lesson26,450/lesson26,,english,45
72,fa,cat_card,Lesson27,lesson27,450/lesson27,,english,45
73,fa,cat_card,Lesson28,lesson28,450/lesson28,,english,45
74,fa,cat_card,Lesson29,lesson29,450/lesson29,,english,45
75,fa,cat_card,Lesson30,lesson30,450/lesson30,,english,45
