"id"	"paper_text"
"1"	"Abandon"
"2"	"Keen"
"3"	"Jealous"
"4"	"Tact"
"5"	"Oath"
"6"	"Vacant"
"7"	"Hardship"
"8"	"Gallant"
"9"	"Data"
"10"	"Unaccustomed"
"11"	"Bachelor"
"12"	"Qualify"
"13"	"Corpse"
"14"	"Conceal"
"15"	"Dismal"
"16"	"Frigid"
"17"	"Inhabit"
"18"	"Numb"
"19"	"Peril"
"20"	"Recline"
"21"	"Shriek"
"22"	"Sinister"
"23"	"Tempt"
"24"	"Wager"
"25"	"Typical"
"26"	"Minimum"
"27"	"Scarce"
"28"	"Annual"
"29"	"Persuade"
"30"	"Essential"
"31"	"Blend"
"32"	"Visible"
"33"	"Expensive"
"34"	"Talent"
"35"	"Devise"
"36"	"Wholesale"
"37"	"Vapor"
"38"	"Eliminate"
"39"	"Villain"
"40"	"Dense"
"41"	"Utilize"
"42"	"Humid"
"43"	"Theory"
"44"	"Descend"
"45"	"Circulate"
"46"	"Enormous"
"47"	"Predict"
"48"	"Vanish"
"49"	"Tradition"
"50"	"Rural"
"51"	"Burden"
"52"	"Campus"
"53"	"Majority"
"54"	"Assemble"
"55"	"Explore"
"56"	"Topic"
"57"	"Debate"
"58"	"Evade"
"59"	"Probe"
"60"	"Reform"
"61"	"Approach"
"62"	"Detect"
"63"	"Defect"
"64"	"Employee"
"65"	"Neglect"
"66"	"Deceive"
"67"	"Undoubtedly"
"68"	"Popular"
"69"	"Thorough"
"70"	"Client"
"71"	"Comprehensive"
"72"	"Defraud"
"73"	"Postpone"
"74"	"Consent"
"75"	"Massive"
"76"	"Capsule"
"77"	"Preserve"
"78"	"Denounce"
"79"	"Unique"
"80"	"Torrent"
"81"	"Resent"
"82"	"Molest"
"83"	"Gloomy"
"84"	"Unforeseen"
"85"	"Exaggerate"
"86"	"Amateur"
"87"	"Mediocre"
"88"	"Variety"
"89"	"Valid"
"90"	"Survive"
"91"	"Weird"
"92"	"Prominent"
"93"	"Security"
"94"	"Bulky"
"95"	"Reluctant"
"96"	"Obvious"
"97"	"Vicinity"
"98"	"Century"
"99"	"Rage"
"100"	"Document"
"101"	"Conclude"
"102"	"Undeniable"
"103"	"Resist"
"104"	"Lack"
"105"	"Ignore"
"106"	"Challenge"
"107"	"Miniature"
"108"	"Source"
"109"	"Excel"
"110"	"Feminine"
"111"	"Mount"
"112"	"Compete"
"113"	"Dread"
"114"	"Masculine"
"115"	"Menace"
"116"	"Tendency"
"117"	"Underestimate"
"118"	"Victorious"
"119"	"Numerous"
"120"	"Flexible"
"121"	"Evidence"
"122"	"Solitary"
"123"	"Vision"
"124"	"Frequent"
"125"	"Glimpse"
"126"	"Recent"
"127"	"Decade"
"128"	"Hesitate"
"129"	"Absurd"
"130"	"Conflict"
"131"	"Minority"
"132"	"Fiction"
"133"	"Ignite"
"134"	"Abolish"
"135"	"Urban"
"136"	"Population"
"137"	"Frank"
"138"	"Pollute"
"139"	"Reveal"
"140"	"Prohibit"
"141"	"Urgent"
"142"	"Adequate"
"143"	"Decrease"
"144"	"Audible"
"145"	"Journalist"
"146"	"Famine"
"147"	"Revive"
"148"	"Commence"
"149"	"Observant"
"150"	"Identify"
"151"	"Migrate"
"152"	"Vessel"
"153"	"Persist"
"154"	"Hazy"
"155"	"Gleam"
